index,count_deposit,count_borrow,count_repay,count_withdraw,count_liquidation,avg_deposit,avg_borrow,avg_repay,avg_withdraw,withdraw_to_depo,borrow_to_deposit,repay_to_borrow
952,0.0019569471624266144,0.0,0.0,0.0,0.0,3.836753868046033e-09,0.0,0.0,0.0,0.0,0.0,0.0
1511,0.0019569471624266144,0.0,0.0,0.0,0.0,3.8190677559206296e-07,0.0,0.0,0.0,0.0,0.0,0.0
3148,0.0019569471624266144,0.005,0.0,0.0,0.0,8.42513130097199e-09,1.3011399327059475e-09,0.0,0.0,0.0,0.11792190355349196,0.0
1547,0.009784735812133072,0.02,0.006872852233676976,0.00014020329477742728,0.0,0.00253252443613038,0.0014980833471234297,0.0002955084224348819,0.0002790696227814976,5.450135677022219e-12,0.361359301796296,0.11481409145465094
596,0.0,0.0,0.0,7.010164738871364e-05,0.0,0.0,0.0,0.0,0.0013108350923358466,0.423139524754728,0.0,0.0
2912,0.0019569471624266144,0.01,0.003436426116838488,0.00028040658955485456,0.0,0.00022987632407804994,6.001801313402807e-05,9.714121199309196e-05,6.259701571660338e-05,1.3468130673770227e-10,0.39873471306441005,0.9420703107568434
1408,0.003913894324853229,0.01,0.01718213058419244,0.0,0.0,0.0007026408928335803,0.0002755326566395314,8.905186790114201e-05,0.0,0.0,0.29943775344931717,0.9405914473504681
71,0.0019569471624266144,0.005,0.003436426116838488,7.010164738871364e-05,0.0,3.9187956315382924e-05,8.5724287744016e-06,6.924317042244199e-06,2.6762429160145147e-05,8.444251947014402e-11,0.1670391086203228,0.9402952352079549
1018,0.11741682974559686,0.135,0.030927835051546393,0.0016824395373291274,0.0,0.003217951860867876,0.0029361917355581755,0.006471481515338381,0.011286601703466658,1.734730163252319e-10,0.3135337446861319,0.8552424995025352
1722,0.0019569471624266144,0.01,0.0,0.0,0.0,0.012322641043323814,0.0023880892454006554,0.0,0.0,0.0,0.2959670961344659,0.0
2359,0.09784735812133072,0.315,0.17869415807560138,0.0004907115317209955,0.0,0.007792486783395832,0.014717403503374948,0.010332257770807315,0.018308697132751812,4.0672205821550136e-11,1.0,0.674556023486288
216,0.0019569471624266144,0.0,0.0,0.0,0.0,6.997306704388596e-08,0.0,0.0,0.0,0.0,0.0,0.0
1157,0.0273972602739726,0.015,0.0,0.00014020329477742728,0.0,0.00025023949679758086,0.0002230359878218848,0.0,0.000421390552821137,2.9745368553920685e-11,0.14584089356006708,0.0
1850,0.0273972602739726,0.03,0.010309278350515464,0.00042060988433228184,0.0,1.005468209174157e-05,1.981314272044717e-05,1.9115208909099407e-05,1.3661448268347872e-05,7.200123149382493e-11,0.6448744597201069,0.5615480841321052
978,0.0019569471624266144,0.0,0.0,0.0,0.0,4.162721547466174e-07,0.0,0.0,0.0,0.0,0.0,0.0
1922,0.0019569471624266144,0.0,0.0,7.010164738871364e-05,0.0,0.0005930969948979656,0.0,0.0,0.0004050406851080238,8.444252217169757e-11,0.0,0.0
1674,0.003913894324853229,0.0,0.0,0.0,0.0,6.167187795217421e-07,0.0,0.0,0.0,0.0,0.0,0.0
2445,0.0019569471624266144,0.005,0.0,0.0,0.0,4.286997550040295e-08,3.83997641415197e-09,0.0,0.0,0.0,0.06839720248214633,0.0
3398,0.14090019569471623,0.0,0.0,0.0,0.0,3.83873018558786e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.050880626223091974,0.005,0.003436426116838488,0.0,0.0,0.0002337056052226066,0.0008590037777588486,0.0007036089779580047,0.0,0.0,0.1079493204067392,0.9535149177011679
