index,count_deposit,count_borrow,count_repay,count_withdraw,count_liquidation,avg_deposit,avg_borrow,avg_repay,avg_withdraw,withdraw_to_depo,borrow_to_deposit,repay_to_borrow
191,0.004866180048661801,0.0,0.0,0.0,0.0,2.571134069743574e-07,0.0,0.0,0.0,0.0,0.0,0.0
3017,0.0024330900243309003,0.0,0.0,0.0,0.0,4.009731108236814e-06,0.0,0.0,0.0,0.0,0.0,0.0
1649,0.11192214111922141,0.29,0.21305841924398625,0.003505082369435682,0.0,2.231396601697409e-05,3.946078509020091e-05,4.222672490593866e-05,2.8437062310608078e-05,1.2671364438728953e-10,1.0,1.0
3143,0.009732360097323601,0.015,0.006872852233676976,0.00014020329477742728,0.0,0.0001705903374060432,0.0001059515300816185,0.00016804124274070336,0.00016257620269622626,4.3588899832684336e-11,0.3556976549180837,0.9333406703351523
771,0.004866180048661801,0.0,0.0,0.00014020329477742728,0.0,0.0016629173950876018,0.0,0.0,0.0012915017706680754,7.104402809180581e-11,0.0,0.0
1957,0.004866180048661801,0.0,0.0,0.0,0.0,3.908933410824092e-07,0.0,0.0,0.0,0.0,0.0,0.0
1835,0.0072992700729927005,0.0,0.0,0.00014020329477742728,0.0,6.74803495838509e-05,0.0,0.0,7.026860884015852e-05,6.350327041811197e-11,0.0,0.0
1847,0.0024330900243309003,0.0,0.0,0.0,0.0,0.015223984243859772,0.0,0.0,0.0,0.0,0.0,0.0
1296,0.004866180048661801,0.0,0.0,0.0,0.0,4.3276927804201787e-07,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0024330900243309003,0.0,0.0,0.0,0.0,4.4423842923487083e-07,0.0,0.0,0.0,0.0,0.0,0.0
2554,0.0024330900243309003,0.005,0.003436426116838488,0.0,0.0,4.286997550040296e-07,3.4180914758000235e-08,3.6410379709232775e-08,0.0,0.0,0.060883127806789915,0.9402858343146073
2070,0.05352798053527981,0.0,0.0,0.000981423063441991,0.0,0.00045353888093777663,0.0,0.0,0.0004355856766725294,5.5907192036506665e-11,0.0,0.0
75,0.0,0.005,0.006872852233676976,0.00014020329477742728,0.0,0.0,2.7106773240679413e-05,2.900550755398981e-05,3.6045792192673254e-05,0.0172161034672498,1.0,1.0
1271,0.009732360097323601,0.01,0.006872852233676976,0.00028040658955485456,0.0,0.004574519753866477,0.006473496150879633,0.006737124393571004,0.004121677328990727,8.241983293458796e-11,0.5402943145961698,0.9186675964203412
2614,0.0024330900243309003,0.0,0.0,0.0,0.0,6.378994918877078e-07,0.0,0.0,0.0,0.0,0.0,0.0
958,0.0024330900243309003,0.005,0.003436426116838488,0.0,0.0,0.0003199286945241185,2.4967900307915462e-05,2.610944676467379e-05,0.0,0.0,0.05959306533003263,0.9230779311384898
3129,0.0024330900243309003,0.0,0.0,0.0,0.0,5.993588815156098e-07,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0024330900243309003,0.005,0.0,0.0,0.0,0.0003452379321248558,0.00017112079014529452,0.0,0.0,0.0,0.378487174658018,0.0
986,0.012165450121654502,0.015,0.003436426116838488,7.010164738871364e-05,0.0,0.00047449497178035367,0.0003476161430831423,0.00013596391473259768,0.00027393218335740126,1.0561972569250811e-11,0.3356499046527522,0.11508679201905599
772,0.0024330900243309003,0.0,0.0,0.0,0.0,3.7403470785661615e-05,0.0,0.0,0.0,0.0,0.0,0.0
3255,0.004866180048661801,0.0,0.0,0.0,0.0,5.624967817874023e-07,0.0,0.0,0.0,0.0,0.0,0.0
2534,0.0024330900243309003,0.0,0.0,0.0,0.0,5.554353676903567e-05,0.0,0.0,0.0,0.0,0.0,0.0
2477,0.0024330900243309003,0.0,0.0,0.0,0.0,6.916228802290398e-08,0.0,0.0,0.0,0.0,0.0,0.0
1311,0.07299270072992702,0.17,0.041237113402061855,0.0009113214160532773,0.11538461538461539,0.0003685831023440813,0.00022602659954985092,0.00046411838874764645,0.00048594941805905597,5.2261396374941604e-11,0.5306995125042453,0.6397264434424791
1739,0.0024330900243309003,0.0,0.0,0.00028040658955485456,0.0,0.0007171777143215568,0.0,0.0,0.0006688857625018824,3.4126211598271583e-10,0.0,0.0
2422,0.004866180048661801,0.0,0.0,0.0,0.0,0.0004291877527556043,0.0,0.0,0.0,0.0,0.0,0.0
3052,0.004866180048661801,0.0,0.0,0.0,0.0,2.0406853253533358e-07,0.0,0.0,0.0,0.0,0.0,0.0
1558,0.004866180048661801,0.0,0.0,0.0,0.0,1.151917910321694e-06,0.0,0.0,0.0,0.0,0.0,0.0
1406,0.0024330900243309003,0.0,0.0,0.0,0.0,3.781303271376245e-11,0.0,0.0,0.0,0.0,0.0,0.0
2810,0.0024330900243309003,0.0,0.0,0.0,0.0,4.2752890494872165e-07,0.0,0.0,0.0,0.0,0.0,0.0
2170,0.0024330900243309003,0.0,0.0,0.0,0.0,7.790884783905162e-08,0.0,0.0,0.0,0.0,0.0,0.0
1265,0.0170316301703163,0.01,0.027491408934707903,7.010164738871364e-05,0.0,0.00020399218398526052,0.00036015609266518053,4.702867862120031e-05,0.0003518137312272989,2.2537453211738676e-11,0.38519110256721606,0.4610569411289292
707,0.012165450121654502,0.0,0.0,0.0,0.0,1.6630100625831037e-06,0.0,0.0,0.0,0.0,0.0,0.0
369,0.0681265206812652,0.015,0.020618556701030927,7.010164738871364e-05,0.0,3.1098777967340335e-05,0.00035119449570631214,6.244077755575462e-05,2.4881904863688496e-05,2.613881750048067e-12,0.9239205507377105,0.31388694352258556
2636,0.038929440389294405,0.07,0.06529209621993128,0.001331931300385559,0.0,0.0004506507000382742,0.00023207768080011392,0.0001837009437598313,0.0002989406579482352,7.205793260630832e-11,0.3440870124894497,0.9482575182957208
1451,0.17031630170316303,0.245,0.1134020618556701,0.001331931300385559,0.19230769230769232,0.0019755182681256947,0.0016443534580087894,0.001623850505493246,0.0018862014702404198,2.3706413444509893e-11,0.44491706788131535,0.5870721237042681
2746,0.0024330900243309003,0.005,0.0,0.0,0.0,1.5329159822625417e-08,1.7327105760011835e-09,0.0,0.0,0.0,0.08631051734975162,0.0
1492,0.0024330900243309003,0.01,0.003436426116838488,0.0,0.0,2.958271540011803e-06,5.141986767691373e-07,1.0972379899674058e-06,0.0,0.0,0.26545416231116253,0.9418086692287074
72,0.17518248175182483,0.0,0.0,0.0,0.0,3.838287804701242e-12,0.0,0.0,0.0,0.0,0.0,0.0
